fecha,coloc_sector_privado,coloc_corporativos,coloc_arrendamiento,coloc_titulizacion,saldo_corporativos,saldo_plazo_hasta_3a,saldo_plazo_3a_5a,tasa_referencia,rend_soberano_10a_pen,rend_soberano_10a_usd,embig_peru,tasa_pref_corp_90d_mn,tasa_corp_mas360_mn
2022-04-01,0.0,0.0,0.0,0.0,14667.940209806,740.8662945593,1256.76978625,4.5,7.37315789473684,4.16131578947368,186.666666666667,5.3908,4.53163792121834
2022-05-01,0.0,0.0,0.0,0.0,14449.5904301786,669.448300227,1191.4078875,5.0,7.92363636363636,4.56222727272727,217.545454545455,6.1156,4.70692227109288
2022-06-01,0.0,0.0,0.0,0.0,14472.4750224672,670.7572180722,1191.6749675,5.5,7.858,4.77219047619048,213.545454545455,6.5066,4.95452828665271
2022-07-01,0.0,0.0,0.0,0.0,14115.9315974223,442.5379829432,1055.67693,6.0,8.21631578947368,4.74931578947368,235.428571428571,7.1747,5.13409390416655
2022-08-01,0.0,0.0,0.0,0.0,13848.3965835838,283.4853710464,1045.22256,6.5,7.90872727272727,4.53818181818182,211.0,7.8556,5.35904493680998
2022-09-01,0.0,0.0,0.0,0.0,13774.2898128912,279.7057752124,946.0833825,6.75,8.30590909090909,5.26540909090909,225.273454545455,7.9938,5.58356719333656
2022-10-01,0.0,0.0,0.0,0.0,13298.6875660428,129.78236973544,923.5953295,7.0,8.64571428571429,6.02866666666667,242.587095238095,8.2644,5.86119286699759
2022-11-01,0.0,0.0,0.0,0.0,12848.3452696378,36.861114213,918.67136875,7.25,7.86476190476191,5.48057142857143,203.406909090909,8.4504,6.10406191790094
2022-12-01,0.0,0.0,0.0,0.0,12836.9170856539,36.4781415978,904.93307125,7.5,7.8615,5.17145,195.5,8.7459,6.3692162201999
2023-01-01,0.0,0.0,0.0,0.0,12816.0718134113,31.086114213,880.304675,7.75,7.95952380952381,5.21561904761905,207.045454545455,9.4381,6.63189134989598
2023-02-01,0.0,0.0,0.0,0.0,12531.4944874052,10.133333384,879.0189,7.75,7.87935,5.3419,192.3,9.4919,6.850617510557
2023-03-01,0.0,0.0,0.0,0.0,12316.1864207315,5.013333396,869.08566,7.75,7.71669565217391,5.34278260869565,203.826086956522,9.0567,7.10922194994223
2023-04-01,0.0,0.0,0.0,0.0,12011.5655862416,4.9466667285,772.0332975,7.75,7.48888888888889,5.19622222222222,201.9,9.0685,7.38043153540864
2023-05-01,220.8,0.0,0.0,0.0,11949.5372385756,4.906666728,771.33288,7.75,7.275,5.24172727272727,197.391304347826,9.1889,7.61044798189717
2023-06-01,0.0,0.0,0.0,0.0,11609.8752372674,4.8400000605,765.1742675,7.75,7.07380952380952,5.24138095238095,181.090909090909,9.3105,7.81145511418098
2023-07-01,0.0,0.0,0.0,0.0,11376.7369060458,4.8133333935,664.7348225,7.75,6.7555,5.2575,168.904761904762,9.244,7.99690744269487
2023-08-01,0.0,0.0,0.0,0.0,11308.2622041387,4.9200000615,593.0276025,7.75,6.84409090909091,5.58609090909091,167.227272727273,9.041,8.14090107239871
2023-09-01,0.0,0.0,0.0,0.0,11317.1858458267,0.0,591.9085775,7.5,6.96857142857143,5.81652380952381,169.095238095238,8.8215,8.28878510406768
2023-10-01,0.0,0.0,0.0,0.0,11248.9220776787,0.0,581.52168,7.25,7.62454545454545,6.32286363636364,179.954545454545,8.3505,8.44068972530412
2023-11-01,0.0,0.0,0.0,0.0,11213.2369748787,0.0,575.093355,7.0,7.17190476190476,5.93028571428571,175.181818181818,7.9954,8.53156476033984
2023-12-01,175.0,175.0,0.0,0.0,11327.751283706,0.0,572.2681075,6.75,6.86847368421053,5.22494736842105,162.428571428571,7.656,8.62378590230264
2024-01-01,0.0,0.0,0.0,0.0,11332.8820605893,0.0,573.73135,6.5,6.67952380952381,5.4167619047619,170.434782608696,7.294,8.69869046961524
2024-02-01,22.5855,0.0,22.5855,0.0,11152.8651702971,0.0,591.799665,6.25,6.75380952380952,5.53071428571429,160.285714285714,6.8902,8.74071778178379
2024-03-01,0.0,0.0,0.0,0.0,11115.0905799904,0.0,588.20721,6.25,7.00578947368421,5.50626315789474,152.666666666667,6.5961,8.76694823582294
